Sample,Time (s),AI0 - Center- F5 (°C),AI2 - F4 (°C),AI3 - E5 (°C),AI5 - F6 (°C),AI6 - G5 (°C)
0,00:00.0,21.76,22.386,22.04,21.649,22.07
1,00:00.3,21.749,22.367,22.069,21.708,22.057
2,00:00.7,21.753,22.373,22.037,21.709,22.032
3,00:01.0,21.761,22.374,22.05,21.715,22.011
4,00:01.3,21.732,22.329,22.02,21.709,21.999
5,00:01.7,21.709,22.319,22.008,21.697,22.008
6,00:02.0,21.71,22.304,21.996,21.705,22.025
7,00:02.4,21.703,22.289,21.962,21.692,21.993
8,00:02.7,21.688,22.285,21.967,21.709,22.059
9,00:03.0,21.822,22.33,21.963,21.719,22.007
10,00:03.4,21.691,22.3,21.966,21.678,22.015
11,00:03.7,21.677,22.259,21.958,21.688,22.043
12,00:04.0,21.741,22.392,22.013,21.747,22.097
13,00:04.4,21.787,22.428,22.095,21.795,22.14
14,00:04.7,21.815,22.446,22.081,21.779,22.145
15,00:05.0,21.802,22.451,22.065,21.802,22.154
16,00:05.4,21.776,22.383,22.081,21.777,22.13
17,00:05.7,21.806,22.417,22.07,21.784,22.115
18,00:06.1,21.776,22.358,22.045,21.785,22.122
19,00:06.4,21.752,22.33,21.999,21.726,22.023
20,00:06.7,21.682,22.278,21.947,21.651,21.972
21,00:07.1,21.616,22.215,21.882,21.583,21.891
22,00:07.4,21.587,22.188,21.873,21.606,21.865
23,00:07.7,21.546,22.106,21.837,21.575,21.847
24,00:08.1,21.535,22.065,21.827,21.54,21.754
25,00:08.4,21.469,21.985,21.773,21.497,21.723
26,00:08.8,21.441,21.945,21.738,21.461,21.624
27,00:09.1,21.416,21.959,21.749,21.483,21.661
28,00:09.4,21.409,21.9,21.738,21.47,21.657
29,00:09.8,21.453,21.917,21.758,21.488,21.671
30,00:10.1,21.393,21.915,21.732,21.489,21.673
31,00:10.4,21.419,21.928,21.751,21.477,21.663
32,00:10.8,21.383,21.985,21.781,21.537,21.925
33,00:11.1,21.52,22.124,21.84,21.585,22.132
34,00:11.4,21.708,22.371,21.978,21.684,22.286
35,00:11.8,21.8,22.496,22.032,21.7,22.361
36,00:12.1,21.852,22.59,22.11,21.738,22.376
37,00:12.5,21.882,22.604,22.163,21.791,22.439
